ptp,Clear instructions?,Notice schema_C,Notice schema_IC,Notice landmarks,Notice random,Strategy?,Did visible ones help or hinder?,Anything else
sub_020,Yes,yes,yes,yes,yes,"trying to ignore the moving visible pictures and focus on locations of hidden objects, same for each board","initially hinder, then help.",nope. it was fun. good luck with the research.
sub_021,yes,think so,think so,think so,"board looked orange to me,think so","yes, what they were beside/below then made up a small story about their placing,then had to switch to where they were because of images moving location",they were distracting,please pay the minimum hourly wage that is £6 per hour for Prolific
sub_022,Instructions were clear for all stages.,Yes I noticed this on the blue board.,Yes I noticed they had changed on the green board.,Yes I did notice this change but I was concentrating more on where the new images were appearing so I could remember this.,Yes I did notice this.,I used the strategy of just squaring with my fingers in the screen of the exact location for each new item so I could remember it.,"I think the visible pictures helped when they stayed in one spot, but it did not help that the images were changing around in the other trials and this made it more difficult to find and remember the item.",The one thing is the screen size.  This trial should be made to fit the screen and not have me make adjustments to my screen.  The screen becoming smaller to fit the trial made it harder to see the objects on the screen because they became a lot smaller.
sub_023,Yes,No,Yes,No,Yes,Just tried to remember them according to north south east west,visible pictures were distracting,N/a
sub_024,yes they were clear,Yes,Yes,I noticed movement of pictures but couldn't have identified that pattern.,Yes,I sometimes tried to split the square up as though it were a clock face.  I don't feel it gave me great success though.,"I felt it depended on the board, but sometimes, yes.",none
sub_025,Yes,Yes,I noticed that on a board or two the locations changed but can't remember which colour was that board.,Not particularly so that I can name what was moved and what was fixed,No,"I was trying to learn the location with respect to the size of the board. I was trying to divide the board in half and draw some imaginary lines and compare with respect to those that was my main strategy. Initially I was trying to use other pictures, in the first few boards I was trying to use the location of the visible pictures as cue, but that seemed harder with the visible pictures changing and their location changing as well. So I changed strategy and decided to learn the locations with respect to the middle of the board (horizontally and vertically) and this was easier.","Hinder me, didn't like them very much, the board that didn't have the visible pictures (I think it was the purple board) was the easiest/best. Shame my PC froze for a second and I missed some of the trials on that board.","The location was extremely sensitive, I hope you calculate the distance from where I clicked to where the object was rather than the correct and incorrect feedbacks. Probably more than 90% of the time I was clicking very very close, some of which I might have missed by a single pixel, seriously, it was too sensitive to the exact location of the items."
sub_026,"Yes, all clear","Yes, I did notice. I think I did the best on that one ","Yes, I noticed that they swapped but not with every trial","Nope, did not notice ","Yes, did notice ","I think I kinda did, especally for the blue one as they stayed in the same location.","somtimes it did and somtimes it did not. For the blue one it did, however the yellow one did not.","Maybe,tell you how many trails you have on each board eg 1/24 "
sub_027,"Perfectly clear, yes",No,No,Yes,No,I mentally drew boxes and put the images on the lines where they met,"I didn't think they helped, I wasn't paying them too much attention, but the purple board without them seemed a little harder maybe","No further feedback, thank you"
sub_028,All clear,Yes,Yes,No,Yes,I tried ignoring constant pictures because they were distracting. Only for last one I linked the two types together ,Hinder in most cases ,no
sub_029,I don't think they were entirely clear to start with as I wasn't entirely 10000% sure what I was doing from how the instructions were worded!,No,No,No,No,I tried to remember but don't think I did very well -I'm sorry! ,I think they helped ,Thank you! 
sub_030,Yes all clear,Yes,Yes,Yes,Yes,No strategy,Hinder,"No, all good!"
sub_031,It made perfect sense to me :),"I think so, I can't really remember which background was for which variation","I think so, I can't really remember which background was for which variation","No, I didn't notice that pattern","I think so, I can't really remember which background was for which variation","I tried to block out the visible puctures and focus on the location of the hidden pictures, sometimes I did it by eying up a a measurement, such as located 2cm from left and 2cm down",They made it harder,Nothing to add
sub_032,"I thought when I would enter full screen mode everything will be shown on screen, it may be an error with my laptop that did not show my scroll bar so I could have typed the names of the visible objects in the visible box, which I apologise the visible objects did however load on each game without issue",I did,I did,I think so,Yes,"Tried to have a rough mapped out area, IE beer bottle near top left corner approx 1 inch down etc","Hinder me, I found the best performance was when there were no visible pictures at all, I believe I had a much better accuracy rate, I believe this could be due to no visual distraction and allowed me to visualise the hidden objects much better.","No thanks, this was very fun to be a part of :)"
sub_033,I could not figure out which were visible and invisible when asked in the text box,Yes,yes,no,yes,yes,when they stayed the same they helped.,n/a
sub_034,All instructions were clear,No,I think so,No,No,Tried to remember what they were close to on the baord,Hinder,No
sub_035,The instructions were clear but i found the task much more difficult than i thought it would be.,Yes,No,No,Yes,I tried to visulize wher they were in my mind.,I felt the visible pictures helped when they stayed the same otherwise it confused me.,"I found the task much harder than the instructions said it was going to be. Maybe double the amount of traing needed as i did not feel i was ready the first few boards. Even after reading the instructions carefully.

Thanks for the opportunity."
sub_036,yes,i think so,"probably, but i was not focus on that sapect.",no,no,visualised quadrants and placed the image by corner,i think they hinder me on all of them,none
sub_037,Yes very clear,Yes,Yes,No,Yes,I tried to focus on where the objects were relative to the square rather than the visible pictures,Hindered a bit especially when the visible ones kept moving,None
sub_038,Instructions were clear.,No,Yes,No,Yes,Just tried to remember the hidden pictures' location against the coloured background.,The visible pictures hindered just by being there. It did not depend on whichever board.,Interesting experiment/game. Thank you
sub_039,yes,I'm not sure,I think so?,"I didn't count the number but yes, I spotted that some stayed the same",I think so?,"Ignore the visible pictures, and try to conceptualise their relative positions to each other.",They were easy to ignore after I did the purple board and realised it was nicer to do without the visible pictures.,No
sub_040,"Yes I think they were fairly clear, I'm just not sure if the board was supposed to have a grid or not.","If that was the first one, yes I noticed that they stayed the same.","Yes, I noticed the pictures moved but it was always the same squares occupied.","No, I didn't notice that pattern.","Yes, it was very hard.",Roughly trying to remember locations but the more items I was introduced to in subsequent boards I started to get more confused,Hindered me when the relationships didn't make sense in relation to the other objects (hard to remember with an association). But by the end it was just pointless anyway because of all the movement.,I surprisingly found it very frustrating more than most tasks I've taken part in.  I think it is because it wasn't even noticing when I was close.  without a grid it was very difficult and often I was just shy of clicking on it but was still 'incorrect'.  I found the frustration distracting in the end.
sub_041,They were clear.,Yes.,Yes.,Yes.,Yes.,"Depending on the board, some I tried to remember which picture they were next to, others I tried to remember the exact location.","I felt that with the green board I performed the best, so I think they did hinder me in some trials. However in some trials they were beneficial as they were placed next to the hidden ones, which made it easier to locate the exact position.",No.
sub_042,yes,yes,no,no,yes,"the ones that stayed in the same position were easy, others were impossible",hinder me,none
sub_043,yes they were clear,no,no,no,no,not really just tried remembering them I felt blue was the easiest though,I felt like the one with no pictures was harder for some reason,No it was fine I hope you find what you are looking for
sub_044,Yes,Yes,"I noticed there was movement, but not that they swapped places.","I noticed there was movement, but not specifically.",Yes,"On the blue board, I used the other images to help remember. Otherwise, I grouped hidden images together based on their location on the board.","The blue board was easiest, because they didn't move. The purple board was second easiest, because there was no images. The rest were trickier because the moving images interfered with my perception of where the hidden images were.",No.
sub_045,Everything was clear.,Yes.,Only slightly noticed.,"I was suspicious of this one, but couldn't figure it out.",Yes. It made things very difficult.,I mostly tried to remember the spacial location of each hidden object.,It seemed to depend on the board. The earlier ones seemed far more helpful than the later ones.,Not at this time.
sub_046,all clear,yes i noticed,yes i noticed,I didnt really pic this up,yes I noticed,tried to memorise by how many blocks up and to the side,i think they helped (definitely in the static one they did),"no, it was good and challenging"
sub_047,yes,yes,yes,they moved,yes,tried to remember 1-3 locations and focus on three hidden pictures ,hinder,n/a
sub_048,yes,no,no,no,no,no,no,no
sub_049,Yes all were clear,Yes,Yes,No I did not,Yes,I just tried to roughly remember where each picture was,I found the visible pictures hindered me when they were constantly moving about because it was distracting to me,No
sub_050,They were clear,Cannot remember,Cannot remember,Cannot remember,Cannot remember,"I attempted to remember a rough position on the board, as the images were distracting for the most part.","On boards where they remained still, they were helpful, where they moved, it made locating the hidden images more challenging.",None
sub_051,yes,unsure,unsure,unsure,unsure,which the locations were and mentally noting if it was north/south or an approx clockface position,some helped when themetically linked e.g. traffic lights next to christmas tree but not always consistent position,n/a
sub_052,yes,no,only sometimes,no,no,yes i developed it towards the end of the experiment. i imagined diagonal lines crossing the coloured box and tried to remember where all hidden objects were in relation to that.,they initially hindered me but then i started to ignore them,no.
sub_053,yes,yes,yes,no,yes,no,hinder,no
sub_054,"Yes, they were very clear.","No, I did not notice this.","No, this was not something that I noted.","No, I did not pick up on this pattern.","No, I did not recognise this feature.","No, I just tried to remember the location for each hidden picture for each board.",The visible pictures didn't make a difference because I ignored them and focused on remembering the location of the hidden pictures.,A brilliant experiment. Thank you for allowing me to participate and all the very best for your findings. Regards.
sub_055,The instructions were clear and understandable.,No,Yes,No,Yes,I tried to link the pictures together for example the microwave and coach pictures in the last trial looked very similar to one another. ,"Sometimes they helped, sometimes they through me off. I found the hidden pictures to be more helpful on the first and last boards.",None.
sub_056,Yes.,Yes.,Yes.,No.,Yes.,"Generally I just tried to memorise the location of each item with relating it to anything else. However, on the blue and green boards I did use the positions of the visible pictures to help me. ",It helped a lot on the blue and green board. Especially on the yellow board I found it hindered me. ,None. 
sub_057,At first I was confused as to why you didnt show all positions for the hidden pics.,Yes,Yes,No,Yes.,Yes I had a strategy to use the dstance from the centre. Same strat all day long.,Blue board I used the visible pics because they didn't move. Others I did not use them.,Experiment looks like it was made for a monkey. My eyes hurt. Thanks.
sub_058,"Yes, very clear.",Yes.,No.,No.,Yes.,"On the blue board (when the images did not move) I was able to calibrate the location of the hidden images based on the visible images, which helped. On the other boards I didn't have a strategy as such (at least not one I was aware of).","It depended on the board I was learning on. If the visible pictures changed every time they were a hinderance (as they just added confusion and made it harder to focus) whereas when they were stable, I could use them as an anchor for the hidden images.",The feedback only just made it onto my screen so perhaps this could be located more centrally in future.
sub_059,Yes,No I didn't notice this,Yes,No,No,I just tried to remember,The visible pictures helped,"I think that was a great experiment, thanks!"
sub_060,They were all clear.,No.,No.,No.,No.,"Kind of. I started off by trying to learn the ones toward the outside of the square (normally two of them). I found them a lot easier to remember/place. I'd then try and learn the locations of the middle placed ones one by one. Once I'd mastered three of the positions, I'd then try and learn a fourth, etc. ","I'd probably say hinder. I found the one without the pictures (I think it was purple) probably the easiest, although by the end, I felt like I had gotten quite good at doing it with the pictures, so maybe I just needed to get used to it? What board it was didn't really matter to me at all if I'm being honest. ","The break feedback text could be improved. I couldn't tell if you wanted me to have a two minute break, or whether you were just offering me up that as an option if I wanted it. "
sub_061,"Yes, all were clear ",Yes - I noticed they stayed the same ,Yes - I noticed they swapped ,I did not notice ,Yes ,I had no particular strategy ,I found they hindered me for the boards where the images moved around ,NA
sub_062,All clear,I did not,yes,Did not notice,Yes,"I don't think I consciously payed much attention to the visible items , I just tried to remember the quadrant and then location of all hidden items.",Felt like they did not make much of a difference ,no all instructions were clear
sub_063,"Yes, it was very clear to me. ","Yes, I did. ","Yes, I did start to notice this. ","No, I did not seem to notice this.","Yes, I did. ","Yes, I tried to find the pattern of where some of the images were so I could get them correct. ",The pictures helped me focus and this was more to do with those boards that did not move about. ,"It was very interesting, thanks. "
sub_064,Clear,they were probably on same location.,Yes,I did not notice that.,I am not entirely sure as I was concentrated on hidden picture,I tried to remember position from the center,It depends on the colour of board,no
sub_065,i found all the instructions to be clear,i did not notice this,i noticed this,i did not notice this,i noticed this,"i didn't really have a strategy, i just tried to remember where they were","i don't think they helped or hindered really, i just tried to concentrate on trying to remembering where the hidden pictures were and didn't pay much attention to the visible pictures",I do not have any feedback on how to improve the experiment but I just wanted to say I really enjoyed taking part in this experiment and I found it really fun!
sub_066,They were clear.,"No, I focused on remembering where the images were in relation to where I perceve the center of the squere to be, and referance the edges/corners.","No, I focused on remembering where the images were in relation to where I perceve the center of the squere to be, and referance the edges/corners.","No, I focused on remembering where the images were in relation to where I perceve the center of the squere to be, and referance the edges/corners.","No, I focused on remembering where the images were in relation to where I perceve the center of the squere to be, and referance the edges/corners.","I focused on remembering where the images were in relation to where I perceve the center of the squere to be, and referance the edges/corners.","On boards where location of the pictures didnt move, the content of the picture did not help. Where the images moved did not hinder.",Have proximity rating of how close you got to the image rather then simply sucsess or fail
sub_067,they were clear,i think so,yes,"no, but i think i found the red the hardest",not sure,kept mouse no the last location of the correct picture,not really,no all good
sub_068,"Very clear, thanks!",I think so - it's hard to remember that far back.,I think they swapped but I don't remember it being every other trial,No,I think so - at that point I think I stopped paying attention to the visible pictures at all,"As the trials went on, I stopped thinking about the hidden pictures in relation to the visible ones because that obviously became less helpful. But initially I used contextual relationships between objects - ie ""the shelf is this far away from the bed"" and the like.",They helped when the positions stayed the same (didn't matter what was in the picture or if they swapped places) but hindered very slightly when they moved around. It was better when there were no pictures at all,n/a
sub_069,yes,yes,yes,no,no,no,hinder on all,clearer pictures.bigger board
sub_070,"It was confusing at first, I think it could be explained in simpler terms",Yes,Yes,No,Yes,I just tried to memorise them,I think they hindered,NO
sub_071,instructions were clear and easy to follow,yes,yes ,yes,yes,i tried memorising locations relative to the positions of the visible pictures,certain boards were significantly easier when the visible pictures were static,no
sub_072,"Yes, they were",Yes,No,No,No,"Where the visible pictures didn't move, I tried to use them to remember the locations of the hidden pictures",They helped on the blue boards but hindered everywhere else,No
sub_073,All clear,Yes,Noticed towards the end,No,Yes,No strategy,They helped if they stayed in the same positions,Nothing else to add
sub_074,YES,YES,YES,YES,NO,NO,YES,NO
sub_075,"Yes, I found it easy to follow throughout.",Unsure.,Yes.,Unsure.,Yes.,"For the boards where the pictures stayed the same and the boards where locations of pictures stayed the same (even if image itself was different), I tried to learn the placements in relation to visible pictures on the board. Otherwise, I tried to remember directions in my head like 'low middle' or 'upper right'.","Largely helped, except the board where the placement remained the same but the images changed. This confused me in some instances.",None. I enjoyed the experiment. Good luck with your research :)
sub_076,yes,I'm not sure,I'm not sure,i believe so,I don't think so,"no, not really. I just try to memorize the location of the hidden pictures ",I think it helped in some of the boards,"no, i don't "
sub_077,All clear :),Yes,I think so,No,Yes,"Mostly tried to ignore the visible pictures, and learn the locations of the hidden ones related to the board position itself rather than in relation to the other pictures","I think hindered mostly, especially when their positions moved around (less so when the pictures themselves changed)","No, it was good :)"
sub_078,"Yes, they were clear.",No i did not notice the visible pictures stayed the same on the blue board.,"No, i did not notice.","no, i did not notice.","No i did not notice, i just thought they all moved randomly on each board.",I just tried to remember if they were located to the left or right or high or low and clicked based on this strategy.,"They hindered me on all boards, especially if they moved.",It was a good study. I think maybe make clear if its ok to get the majority incorrect because it was difficult to get some that were correct.
sub_079,"All clear, just took me a while to get used to the first round",Yes,No,No I didn't notice thus,No,I just tried to focus on the invisible pictures and build an image in my mind of where they were.,They hindered when they moved as was unable to use them when trying to envision how the board looked in full.,N/A
sub_080,Yes,Yes,No,Nope,Nope,Yeah they would typically appear in the same positions,help,not sure
sub_081,The instructions were clear,Yes,Cannot recall,Cannot recall,Cannot recall,"Divided attention between hidden picture relationship with visible picture, and hidden picture location on board",Visible pictures helped at times and hindered at times - could not be relied upon exclusively,No issues other than having to adjust screen size at start of experiment
sub_082,Very simple to understand,I can't remember,Yes,No,Yes,"No, just tried to remember general locations relative to the centre of the board","Hindered, if they had stayed the same it would have helped but changing just made it worse",Nope!
sub_083,yes,yes,yes,no,no,"seeing which pictures they were next to, how close they were",help,no
sub_084,They were clear,Yes,Yes,"I didn't notice how many moved, though I knew some did",Yes,"I tried to work out which ones were next to the other pictures. I found these easier to place, but I still found hitting the exact area almost impossible. I have commented to say that the pictures should really be bigger against the grid.",They helped,"Larger images on the grid please. I came extremely close on many of the guesses, but they still count as 'incorrect'"
sub_085,Yes,"Yes, it was helpful",Yes,No,Yes,No,"Helped on the blue board, didn't help on the others ",No
