ptp,Clear instructions?,Notice schema_6_0,Notice schema_2_2,Notice schema_4_2,Notice schema_4_4,Strategy?,Did visible ones help or hinder?,Anything else
sub_011,i wasnt sure how i could name the photos that were visible when iwasnt shown them,no,yeah,no,no,"just said in my head what those objects were near or their basic location, e.g stairs were in the top left corner, or onion was below the table etc",they helped when there was 5-6 but when there were more it made it more difficult,no - thank you.
sub_012,Yes,Yes,No,No,No,I split the grid into 9 sections in my head and assigned the hidden pictures to each grid,Didn't help or hinder,na
sub_013,yes,yes,no,no,no,try to remember some bu was annoying that you said incorrect so easily,o,dont tell people incorrect
sub_014,yes,did not notice ,did not notice,did not notice,did not notice,spatial orientation strategy,just orientation of location,nil
sub_015,clear,I did not!,I did not!,I did not!,I did not!,remember the images near the corners and edges first,hinder,no
sub_016,I thought the instructions were clear.,Yes I did notice this.,I did not notice this.,I did not notice this.,I did not notice this.,"I tried to associate pictures with each other if I spotted that they were near each other often. For example, I noticed that the squirrel was always above the present. I used this strategy for all boards.",Visible pictures helped as some pictures were always nearby a visible picture.,No other feedback.
sub_017,Yes they were clear,"Yes i did notice this, but it was hard to remember the positions of pictures still",No i did not notice this ,i feel like i noticed two of the images stay the same and tried to focus on these ,i feel like i noticed two of the images stay the same and tried to focus on these ,Once i figured out pictures that stayed the same i tried to work out the distance from this to that e.g. on blue board tried to remember the bee was down and along from the spade,"They only helped if they stayed the same, to remember the distance from a hidden and that object, moving objects were useless for this ",non3
sub_018,yes,no,yes,no,yes,not really,"help if they stayed in the same place, hinder if they moved around",no
sub_019,Yes very clue,"Indeed, once I noticed it made the exercise much easier","Yes, I found this helpful",No,"Yes, it helped me orientate my cursor.","Yes, I remember where hidden pictures were in relation to static visible ones",Almost always help.,"No. I felt I could reliably get close, if not exact, so could be worth tracking"
sub_020,Yes the instructions were clear,"Yes, I believe they stayed in the same place each time.","I noticed that some were moving, although wans't sure of how many moved.","Again I realised that some moved, but did not noticed how many did","Noticed that some moved, but did not know how many","I tried to learn where the pictures were in relation to the board as a whole, because I felt that the visible pictures would not be reliable enough to depend on.  For most I tried to remember the pictures with relation to the whole square, although for some I did base it on the static images once I was confident in them.","Sometimes the visible pictures helped, but overall I tried to ignore most of them and focus on where the hidden pictures were in the sqaure as a whole.","No specific feedback, thank you for the chance to participate."
sub_021,yes,yes,no,no,no,"I tried to focus on the middle of the coloured square, apart from the blue board as I noticed that the locations were fixed, so I tried to remember them.",I expected the visible pictures on the blue board to help but I think it actually hindered and I think focussing on the centre of each coloured square was more useful.,n/a
sub_022,yes,no,no,no,no,I tried to match the hidden pictures to a visible item and place it somewhere near it in my head,they usually helped as i could try to associate the images in my mind though they moved at times so it wasnt always easy,no
sub_023,Yes,No,Yes,Yes,Yes,I learned where the stable images where and the location of the hidden images to them. I also learned the approximate location from the edge or centre of the hidden images,"Helped, allowed me to use them as markers",None
sub_024,Yes,"Yes
",No,No,No,No,I didn't pay much attention to the visible pictures,No
sub_025,"It was, very well explained and clear from beginning to end",No,No,Yes,Yes,No particular strategy other than brain memory where they were the last time they came up.,"Hinder, they definitely confused me by moving around to locations where I thought the hidden picture(s) would be.",N/A
sub_026,they were clear,no,no,no,yes,no strategy just trial and error,"slightly helped, perhaps subconsciously ",no
sub_027,"I would say not entirely, as I didn't fully understand the objective until I'd done a round or two, even after the practice stages. I'm not sure how to make it clearer, though.",no,no,no,no,"I tried to picture the square with a grid to then try to remember their ""coordinates""; I used the same overall strategy for each board, but sometimes I envisioned halves, thirds, or quadrants.","I don't think they really aided me in any way, especially because I hadn't noticed some of them kept their location. I focused more on the above strategy.","The pictures are tiny, even in full screen, which makes it quite hard to discern, and also requires one to be quite precise when clicking on where one things the object is. Is this intentional toward the aim of the experiment, or is it just practical logistical requirement for the nature of the study (not enough space, basically)? I feel like if it is a case of the latter, the size/exactness required might skew results."
sub_028,yes,yes,no,no,no,My strategy was to try and see where they were on the bored roughly and remember that. ,They helped only on the blue bored. ,Sometimes it looked like i clicked the picture but it came up as missed
sub_029,yes,I can't remember which ones moved or stayed the same,I can't remember which ones moved or stayed the same,I can't remmeber which ones moved or stayed the same,I can't remember which ones moved or stayed the same,I noticed the ones that appeared beside other images and which side the images tended to appear on ,the visable pictures did help but the fact that the mouse disappeared whilst the images were showing made it more difficult for me ,n/a
sub_030,yes,yes,no,yes,no,no. I just tried my best to memorise where the hidden pictures were allocated,they helped ,no
sub_031,yes,yes,"pretty sure, yes",yes,not sure but think so,"in the blue board I mostly tried to focus on the visible pictures and take them as a focal point to determine the hidden one. with all the other boards, I entirely focused on the positioning of the boards themselves and the rough distances between the borders of the boards and locations of the hidden objects rather than the visible objects which were distracting with their constant movement.","helped on the blue board with them not moving at all, hindered my process in all other cases and made me rely on the boards themselves and their positioning more.",no
sub_032,Clear enough.,Didn't notice at the time.,Did not notice this.,Did not notice.,Did not notice,"intially I tried to memorise simply by saying the name of the object and it's location out loud (e.g. cloud, centre left), then I tried to think of where they were in the real world (e.g. on the third board I would say ""ceiling fan on the roof"" as it was where you would expect it, however this has limited advantages especially when the bulb was ""on the floor""!. By the last board I made an invisible link between each one as they came, I remembered the first was just below centre and then the wheel was to it's right, then the wasp was about up left of this, stair was up left of this, cloud was down from it, and jeans was down-right from this and therefore close to the first object, and so the cycle continued. I imagine I scored best on this last puzzle as this strategy seemed to work for me and I was always close.","Didn't matter as I didn't really use them, I just imagined where the hidden pictures were in isolation. Which is why my answers to the above are that I didn't notice the patterns in the visible pictures.",Allow an extra second to make mind up.
sub_033,yes,yes,no,no,no,"i linked some images to locations e.g. on purple board, stairs lead to the top, it was top left",on the blue board but not the others,no
sub_034,At first I wasn't sure how I was supposed to find the images,Yes,Nope,Nope,Yes,Try to remember how far they were from the edges,Usually only helped when I could use them as a reference to see which hidden ones they were next to,Nope
sub_035,The moving images might have been explained better,No,No,No,No,Just try to remember what they were near,"Helped, but i found the task difficult regardless",None
sub_036,yes they were clear ,yes,no,yes,yes,no strategy just tried best to remember ,helped a little bit on all boards,no
sub_037,yes,cant remember,cant remember,cant remember,cant remember,no strategy,helped on all boards,n/a
sub_038,Yes was clear but the task was incredibly difficult ,Yes,Yes,I only noticed that some moved and some stayed ,I only noticed that lots seemed to be changing.,"I tried to memorise pictures that were near each other as a group, together, but it was not very successful because I could only learn a few of the pictures this way","They definitely helped me,  as I tried to learn locations based on other pictures, but this did also hinder my performance when they moved around.","It was really difficult so to improve performance, making the pictures bigger would be better because I often knew the general area where the hidden picture was but failed to click on the exact spot. Please also see your prolific messages about why my completion time seemed to short! It filled in with the wrong code from another study. Thanks"
sub_039,Yes,"No, I ignored the visible pictures as they weren't important","No, I ignored the visible pictures as they weren't important","No, I ignored the visible pictures as they weren't important","No, I ignored the visible pictures as they weren't important",I tried to remember their positions in relation to the nearest corner,"I didn't pay any attention to the visible pictures, only that they were a uniform size and they fitted into a grid layout. I tried to imagine the grid the pictures were on and worked out their position from the nearest corner, eg 3 up, 3 across, for the Jeans in the fourth trial",Maybe make it clearer that you would have to learn the position of the pictures at the beginning of each block. In the instructions it wasn't clear that you would get the first few wrong whilst you learnt each position
sub_040,they were clear,yes,yes,no,no,trying to remember previous location ,"sometimes helped, other times they were distracting",maybe increase it to 4 secs from 3
sub_041,yes very,yep,yes,yes,no,I tried to anchor them to one of the pictures that remained still - or the edges of the board,it depended,no
sub_042,I felt that the instruction were clear.,"Yes, and I think I did better there than on the others.","Yes, which did help somewhat.","Yes, I did notice that too.","Yes, I did.","Generally, if they were next to a picture that stayed, click there, other than that, work out the distance between the picture and the nearest edge.","It depended on the board. Some of them it did, other times it tricked me.",Nope!
sub_043,Yes,No,No,No,No,To figure out the overall area of where they fell and then I could ignore the outer areas from that in hope to try keep things in a tight circle of locations,"I don't think they did either, I used my memory to try pinpont the locations ",No
sub_044,"No, everything was clear.",Yes,Yes,I'm not sure.,I'm not sure.,"I tried to identify which hidden images were always next to certain images. That made it a lot easier to look out for the visible images and try and remember where they were. For the other images, I tried to remember where they were in relation to edges of the square. This was a lot easier when there were other visible images in the same place every time, as I could use these as points of reference.","Once I knew which ones were relevant this was useful (e.g. which ones had hidden images next to them). Also, on boards where the images stayed in fixed positions, the visible images provided useful points of reference. I ignored them when they kept changing direction though.","No thank you.

This looks like really interesting research though. I hope that it goes well."
sub_045,all clear,yes,yes,yes,no,no ,hinder me,all good
sub_046,they were clear enough,i did,i did,i did,i did not,compare with the border and the visable images,"help, but some helped more than others",none
sub_047,"Yes, they were very clear ",I didn't notice ,I didn't notice ,I didn't notice ,I didn't notice ,"I tried to think of them as how high or low they would be in real life. For example on the last one, I thought of jeans being on the floor, so being lower down. The stairs would be going high past the clouds , etc. ",I didn't focus on the visible pictures. ,No
sub_048,yes they were clear and the practice round was useful,im not sure but I think a couple of them were fixed for sure,im not sure but I think a couple of them were fixed for sure,im not sure but I think a couple of them were fixed for sure,im not sure but I think a couple of them were fixed for sure,yes i would think about distance from the gangles and borders,at first they helped but then they were distracting me,no
sub_049,Yes,Yes,No,No,Yes,I tried to imagine the board sectioned off into squares and roughly remember which area they were in,"I don't think it helped or hindered, I didn't really look at them.",No
sub_050,yes,yes,no,no,no,"nope, just visual memory",no,no
sub_051,instructions clear,did not notice ,no ,no ,no ,tried to remember which one it paired with ,hinder,no 
sub_052,"yes are clear, by reading the instructions that were given to you ",yes i did,yes,no i didnt ,yes,no i didnt ,yes helped me ,no thank you 
sub_053,"Yeah, they were very clear and not unnecessarily wordy and needlessly complicated like instructions on some studies",I didn't,I didn't ,I didn't ,I didn't,"For most of the study I was paying more attention to the overall position as I found that a little easier than focusing on the visual objects, though I still missed a lot. For the last one I tried paying a bit more attention to the visible objects and actually it did help a little","I thought they were hindering me to begin with, although they did seem to help a little near the end, but either way it was hard to click in the exact position, especially as there wasn't even grids or anything",I think the images could be bigger so people didn't have to zoom in so much but otherwise was great 
sub_054,Yes they were,Yes,No,Yes,No,"Not really, if a hidden picture was next to a visible picture I would try to remember where",Definitely helped on boards where some visible pictures stayed the same,No thank you
sub_055,"yeah pretty much, the only thing I'd say, is I weirdly thought I'd see the pictures that where in hidden in the general areas before we started and thought I was missing something. ",yes,no,no,no,"corners in general areas, I tried to get them in the right place",bit of both ,Give us a little bit of le-way. I clicked a pixel off and failed some haha
sub_056,They were clear,No - not at all!,Nope,No,Yes,I didn't use the visible pictures as positional aids at all after the purple board; I found it easier to imagine rectangles of various shapes and sizes to determine how far away the hidden images were from the board's edges.,"I felt they they were distracting. After the first board, where I tried to use the fixed images, I settled on the strategy described above.",No - it was hard though!
sub_057,Yes they were clear,No!,No!,No!,No!,"I imagined the board was divided into squares, like the battleship game, and would assign each hidden picture with a code as accurately as i could. I would then attempt to replicate that code (e.g. B3) when guessing their position.",Neither,No
sub_058,they were clear. I properly understood the rules on the 2nd trial.,"did not notice that all stayed at the same location, but noticed most subconsciously. the kiwi I did notice for sure.",yes,I noticed that a few remained the same.,no,just tried to see how far they are from center and the edges.,I found the blue one the easiest to determine the correct location,no
sub_059,yes,no,no,no,no,where they were in relation to other pictures,they helped on each board,the boards moved around in the square which made this nearly impossible to do
sub_060,They were pretty clear,Yes,Yes,No,No,Look at the board in terms of cubes,"They sometimes helped, but I was mostly not looking at them",No
sub_061,Yes,Yes,"No, I noticed some moving but didn't notice how many","No, I noticed some moving but didn't notice how many","No, I noticed some moving but didn't notice how many","I tried to remember their position on the board, not relative to visible pictures that might move","They hindered me when they moved, so as I went on further in the experiment I tried to ignore them and not rely on them for locating the hidden pictures",N/A
sub_062,yes,Yes,No,No,No,try to connect them with line,I did not check the visible one,no
sub_063,yes,no,no,yes,no,just memory.,helped give reference.,no
sub_064,yes,no,no,no,yes,i just tried to remember the beside or up down images,they helped me,the images could be little bit bigger in size
sub_065,Yes,I think this was explained in the instructions.,No.,No.,No.,"Yes, I came up with stories, mnemonics and spatial relationships between the pictures and their position on the board. I used the same strategy from the second board onwards. On the first board I didn't have a strategy.",They neither helped nor hindered.,"If you're not recording near-misses, that seems like it would give you more of an idea of how well someone is doing, rather than a correct/incorrect result. Tracking improving accuracy even when not hitting the target."
sub_066,"They were clear, but I was slightly confused at the start as I didn't know how I was going to be able to guess where the hidden images were without any other information. I didn't know I'd learn by repeating the same images until I was doing it.",No,No,No,No,"I would just try to visualize where the pictures were, sometimes in comparison to the overall box and sometimes relative to the other pictures. That was the same strategy I used for all boards.",They helped me with spacial awareness off the scale of the box and the distances between pictures.,No
sub_067,yes they were clear,no,no,no,no,"yes, i tried to split the board visually into thirds horizontally and then would split the board vertically down the middle and try to remember which was in which area. This was the same for all boards",they hindered me in the beginning but as i got in the flow i tried not to take much notice of them,none
sub_068,"Yes, There was clear and concise language used and each stage was explained thoroughly",Yes,No,No,No,I simply tried to use photographic memory to remember the precise location of each hidden object on the board. I actually ignored the visible pictures as I viewed them as a distraction.,They hindered me as it was more information to process. It was much easier if I focused only on the hidden objects.,"Not off the top of my head, but I found it enjoyable and a bit of a challenge."
sub_069,yes,"Yes, that one was a little easier than the others. ","Sort of, i was too focused on finding the hidden pictures. ","I did not notice, it seemed like they was all moving around. ","This one i felt very difficult, i did not realise as there was more pictures on the screen. ",At first i tried to think of them near another visible picture but didn't seem to work so i would try and remember where on the screen it was. ,Yes they both helped and hindered me. ,"Good experiment, enjoyable. "
sub_070,I found them clear.  The practice rounds were very helpful.,Yes,No,No,I thought they all moved!,Some of them just logged in my mind whilst I struggled with others.,It definitely helped.,It would have been easier on a grid system
sub_071,They were clear,I think I did,yes,I didn't,no,I found it better when 2 pictures connected,They helped a lot,none at the moment
sub_072,yes,yes,yes,no,no,no i just tried to memorise the location of the picture on the board ,the pictures didnt make a difference to me,no
sub_073,Yes,No,No,No,No,Just tried to visualise where they were,help,I enjoyed the experiment but found it difficult. Good luck with the studies.
sub_074,"Yes, very clear",Yes,Yes,Yes,No,"I tried to count how many boxes from the top/ bottom and the sides. Also, tried to picture images and their location and make up phrases, etc the bee was flying high",The helped more on the boards where they stayed static.,No
sub_075,The instructions were clear,Not particularly ,"I noticed some movement, but not the exact number 2","I noticed some movement, but not the exact number 4","I noticed some movement, but not the exact number","I tried to make associations with the pictures to help me remember them. For example, remember that ceiling fan is near the top of the board because ceiling fans are on top of the ceiling. Or remember that the football is near is the bottom of the board because a ball fell to the ground. 

I also tried to make pairings for closely-spaced pictures. For example, the wasp flies near the cloud. Or jeans are near the bike. 

I also split the board into parts and labelled them. For example, ""cloud is middle top"", or, ""football is left bottom""","I think they sometimes helped me to align my cursor to the image. For example sometimes I had a general idea of where to click, but then used to visible image as a reference to increase my accuracy.

I don't feel like the visible images provided real drawbacks for me. I felt that I could ignore/block out the irrelevant moving images from my mind. ",No
sub_076,Yes - clear instructions,No,No,No,No,I tried to word associate and make connections where I could - such as imagining the squirrel eating the pumpkin it was above. But I couldn't make connections quickly enough for all of them.,I noticed the pictures moving around the boards but I didn't notice the specific patterns listed above. I was too focused on the task itself. Sometimes I was only a hair width out of the target area which was a bit frustrating!,No. Thank you for letting me take part in this experiment.
sub_077,Everything was clear but I think it might be good to mention that the board itself will move,"I think so, I mostly paid attention just to the hidden pictures","I think so, I mostly paid attention just to the hidden pictures","I think so, I mostly paid attention just to the hidden pictures",I was not sure,"For the boards where at least some of the pictures stayed in the same place, I tried to use them as a reference point. In the boards where most of the pictures moved, I just tried to rely on pure memory.","It was both help and hindering. For those boards where the visible pictures stayed in one place, it was helpful but for the other boards where the visible pictures moved, it was the opposite.",No
sub_078,yes after practice,yes,yes,yes,yes,tried to divide in to quarters but soon threw that out,hinder mostly,"nope, although maybe adding some clarification that there's no way to know where a thing is until you've seen it once. I thought I missed something at first"
sub_079,"Instructions were straightforward. It could be made clearer that the board will be constantly moving around the screen, as that is the biggest obstacle to remembering the object locations in my opinion.",No. I did not pay attention to the visible pictures much if at all. I relied entirely on memory for the hidden images only.,"No. Once again, I did not pay attention to the visible pictures much if at all. I relied entirely on memory for the hidden images only.","No. Once again, I did not pay attention to the visible pictures much if at all. I relied entirely on memory for the hidden images only.","No. Once again, I did not pay attention to the visible pictures much if at all. I relied entirely on memory for the hidden images only.","I relied on memorizing the locations of the hidden images only. The visible images were briefly used as reference to assist me (as in orienting myself or finding my bearings around the board) but I did not remember what those images looked like at all. Additionally, I chose not to take a break between blocks as I noticed that it would hinder my memory. This was my strategy from the second board onwards as I had performed terribly early on.",They did help a little but I mostly relied on memorizing the locations of the hidden images.,It could be mentioned that you need to be precise when clicking on the location of the hidden images. There were a number of times where I was only one or two pixels off and would receive an incorrect score.
sub_080,yes,yes,yes,yes,yes,linking them to either a place or in relation to another object,they helped. More on the boards where they didnt move. ,no
sub_081,"Yeah, understood all instructions perfectly.","Yeah, and I found it by far the easiest one to get the hidden pictures in the correct location.","Yeah, I noticed there was movement in two of them and two of them stayed which were easier to get.","Yeah, and I found it difficult to find the hidden locations of the ones that moved.","Yeah, and I found it very difficult to keep track of the pictures.","Yeah, I said out loud the two objects if they were next to or above or below to group them together.",They helped as it allowed me to group them together and I could use them as a guide if they were alongside it.,N/A
sub_082,"Yes they were clear, especially with the chance to retake the practice ",No,No,No,No,I tried to ignore all the visible pictures and just pinpoint and memorise on the square where the target pictures showed uptarget ,They seemed to help on the first stage but hindered me on all the others,"None, thank you"
sub_083,they were all clear to follow,i never noticed,i never noticed,yes i seen that time!,"i never noticed, i thought the images were rotating",i tried to picture things as a grid in each picture.,on a couple boards it helped.,maybe make the clickable areas of the pictures a bit more leinent as i was just off on a couple and was well gutted!
sub_084,"Yes, all clear",No,No,No,No,"Yes - identify the rough location where each item appeared next to, e.g. - squirrel above kiwi","They helped sometimes, sometimes hindered because of moving",No
sub_085,Yes,No,No,No,No,It was to try and memorise on or two of the locations at a time before moving onto others.,"Sometimes, if they stayed in consistent places",N/A
sub_086,Yes very clear,no,no,no,no,Try to remember which visible picture the hidden picture was next to ,They helped when they were right next to the hidden pictures but when they were further away they were more of a distraction. ,no
sub_087,yes,yes,yes,yes,yes,yes,yes,no
sub_088,Yes,No,No,No,No,I just tried to remember them the best I could.,"No, they did not really make too much of a difference.",No
sub_089,yes,yes,yes,yes,yes,"I tried to associate the pictures with real life examples. I used the same technique for all boards, I just tried to ignore the visible pictures.","I dont think they helped much, I didnt use them.",none
sub_090,Instructions were clear,Yes,Noticed that some pictures moved.,Noticed that some pictures moved.,Yes,I tried to remember where the pictures were relative to the board rather than the moving images e.g. a hidden image being in the centre of the board slighty to the right etc.,The moving pictures made it slightly harder to get the right location for the hidden pictures.,No
sub_091,yes,yes,yes,yes,no,try memorise 3 at a time,on green board found it easy,no
sub_092,They were clear,"I did notice something of the sort, but I wasn't certain",Yes,I'm not sure,I'm not sure,"I did have a strategy, and I applied it to all. I would remember how far many blocks it was from the centre and sides.",I would use a static one as reference.,"I thought it was fun, and engaging"
sub_093,yes,yes,no,no,no,"for some images that were easier to remember due to their use, like the ceiling fan being near the top of the board, I tried to remember it using that but it was difficult to remember everything because of how quick each picture went past.",they sometimes helped me like when they were connected to a hidden picture but not always. depending on board,n/a
sub_094,Yes,"Yes, and it made it easier to find the hidden ones",Yes,No,No,"I tried to remember roughly how far from the left and right, plus top and bottom to try to locate them",It helped depending on the board and whether they stayed fixed as you could fix the hidden pictures easier,It was fun and I enjoyed doing it
sub_095,It was clear,Yes I noticed that,Yes I noticed that,No,Yes I noticed that,Just tried to memorise locations,It helped me to memorise,Nothing to add
sub_096,yes,Yes,Yes,Yes,No,Say them out loud,no,it's very hard and sometimes i clicked on an edge and it said incorrect
sub_097,Everything was clear and easy to learn. ,"I have noticed that most of them stayed at the same place, I was not sure if the rest was at the same location. ","Yes, I have notice that gift and pumpkin were always at the same location ","I can not remember, but possible I have notice that some of them stayed where they were.",I cannot remember ,"When I have notice that some pictures were not moving, I was using them to find hidden pictures. I was also trying to learn which hidden pictures where close to each other, or where in the same part of the board. ","I am sure it helped me on the last board, and on the one before last. ",no
sub_098,No it took until the first task until i realised what was asked. It would be better explained by saying the unhidden pictures only act as reference points for the hidden ones.,Not really I was concentrating on trying to remeber the hidden image locations,Yes,Yes,Yes,"I would have a ""base"" hidden image of which I knew the location and then based everything around that i.e. image 1 I knew was in the middle, learnt that image 2 was up and left of that etc.",They helped purely as a physical reference point for the hidden images i.e. knew there was an image roughly in that area so go the left/right,The level of accuraccy required is very high! I was often just pixels away from the image and it raised as incorrect. maybe this would have been better if my screen was more zoomed in. Maybe you could implement a sizing step i.e. at the start make a box the same size as a credit card so that you know everyone is working from same position. I think had my screen been more zoomed I would have been more accurate/more room for error.
sub_099,YES,"NO, I FOCUSED ONLY ON HIDDEN OBJECTS; IGNORED ALL OTHER VARIABLES TOTALLY",NO,NO,NO,I tried to equate pictures with locations on a virtual map and gradually correct the locations by learning up/down square etc ,"help; i occasionally used them to transfix a point, especially on boards that i noticed visible pictures were not moving",n/a
sub_100,Yes,Yes,Yes,Yes,Yes,"Where they stayed the same i remembered locations relative to them, but when they moved i mostly ignored them and just tried to note the position of the hidden pictures alone",they hindered if they moved around as it was a distraction,Nothing to note here
sub_101,The instructions were clear.,Yes.,Yes.,No.,No.,I focused on one of the stable visible pictures (always one on the left) and try to learn the non-visible pictures in relation to the position of the visible picture I was focusing on.,They always helped me.,No.
sub_102,All stages were very clear,"Yes, I noticed the boards moved which made it difficult",No. I didn't notice,"No, it tricked me",I did not even notice this,I would try to speak out loud using picture e.g jeans in bottom corner,"the visible pictures helped, the board moving did not","No, it was a good experiment"
sub_103,Yes,I didn't notice that,No I didn't notice that,No I didn't notice that,No I didn't notice that,Same strategy each time. I didn't take notice of the visible pictures. Only focused on the hidden pictures so as not to get confused.,The visible pictures were a hindrance so I started to block those out and focus only on the hidden pictures.,N/A
sub_104,Yes,Yes,Yes,no,no,"Create a grid in my head of the entire board, I knew that the jeans for eg were 2,2 away from bottom right corner",Hinder for the most part,no
sub_105,Instructions were perfect.,Yes,No,Yes,Yes,I tried to associate different words to the images I was trying to find.,They hindered me as it got more confusing on the later boards.,N/A
sub_106,Yes they were clear,Yes,Yes,No,No,"After guessing, I told myself rough directions for next based on where I guessed if I was wrong. So for instance, if I missed by going to low I told myself to go a little bit higher than what my instinct was telling me",For the red and purple board they were a hinderance ,Everything ran very smoothly and it was quite enjoyable to take part in.
sub_107,"The instructions were clear, I understood everything.","Yes I did, it was helpful in positioning.",I noticed that some stayed in position but I'm not sure how many.,I notice that some stayed in the same place and others moved but I don't know the numbers,I noticed some moved and others didn't though I'm not sure how many.,I ignored the visible pictures for the boards that had moving pictures as is confused me too much so I learnt where the hidden pictures were on memory alone.  However I did use the visible pictures on the blue board to help with positioning as they were stationary.,They helped on the blue board but I ignored them on all the others.  They didn't really hinder me as I just ignored them.,Maybe the board could have been a little bigger to make it easier to see the images.
sub_108,Yes all clear,No,No,No,No,I tried not to pay any attention to the first lot of photos because it didn't matter where they were because my task was to locate the hidden ones.,"I tried to ignore them so I guess that means they hindered me. If I was presented with a colour then the hidden image, it would be much easier to remember the location of the hidden image. But that wasn't the point of the task :)",n/a
sub_109,Yes very clear,Yes I did,No I didn't,No I didn't,No I didn't,Not really ,The pictures were a huge help,Nothing that I can think of
sub_110,Yes,Yes,No,Yes,No,Just to remember the position as best as i could.,Helped,No
sub_111,Yes!,Yes,No,Yes,No,"For boards where the visible pictures remained, I remembered their locations. Where they moved around I just remembered the general location","Hinder when they moved around, helped when they stayed fixed",Interesting! 
sub_112,yes,yes,yes,yes,yes,trying to see where they were in relation to the stable tiles and visualise from there,help on all boards,N/A
sub_113,yes the instructions were very easy to understand.,no,no,no,no,"In my head I drew a cross on the board and then tried to remember where the items were. I then said to myself stairs top left, ceiling fan top middle, jeans bottom right etc.",I tried to ignore the visible pictures and focused on where the hidden objects were.,The experiment all worked well
sub_114,Yes,"I was too new at the task, feaking out a bit, to notice that.",I noticed there was some movement.,I noticed there was some movement.,I noticed there was some movement.,"I learned to not get complacent when I knew where an image was: I tried to reinforce my knowledge so that I wouldn't made careless mistakes.

I learned not to rely on image positions early on, in case they changed.",They helped when they were static and they were next to hidden images. Early on they could be misleading when they later move.,no
sub_115,instructions were clear,I did not,I did not,I did not,I did not,in the last 2 studies I was counting squares to locate the images,they did not help,no
sub_116,yes however it was easier once it had gotten underway,no,yes,i noticed some stayed in place,yes i noticed some did,"tried to mentally divide the boards into squares and count how many in from the side and up or down they were, ",some were helpful for example knowing the squirrel was directly above the pumpkin and noting the pumpkin didn't move. ,maybe start with a smaller board? make it a little easier to begin 
sub_117,Did tke me a few goes to reading to understand but nah they were fine.,yes,no,no,no,"not really, just tried to remember",I dont think so,No
sub_118,Instructions were totally clear.,I haven't noticed that.,I haven't noticed that.,I haven't noticed that.,I haven't noticed that.,"I was just trying to take a mental note of where that image was on the board, i.e. was it close to the centre, or close to the edge etc.","It seemed like sometimes it was helping, and other times it was hindering. But because I was so focused on trying to rememebr where the hidden images were, I didn't actually know why it varied.","no, all good"
sub_119,Instructions clear to me,Yes,Yes,No,No,"Yes, just roughly memorising where each picture was in proximity to the shape of the square board",Sometimes hinder on the later boards,N/A
sub_120,Yes,no,no,Yes,no,"Some boards they lined up with visible pictures, others I used same strategy but also memorised the position","when moved they did not help, otherwise they did help",none
